Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Primary Collection (product.metafields.custom.collection),Personalization type (product.metafields.custom.personalization_type),Product family (product.metafields.custom.product_family),Size Guide (product.metafields.custom.size_guide),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Care instructions (product.metafields.shopify.care-instructions),Case transparency level (product.metafields.shopify.case-transparency-level),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Fit (product.metafields.shopify.fit),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Personalization options (product.metafields.shopify.personalization-options),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
t-shirt-energy-saving-mode-manifesto,ENERGY SAVING MODE,<p>Premium Kauffman Concept T-shirt with statement artwork. Each item is prepared for gift-ready packaging.</p>,Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Apparel,Manifesto,true,Size,xs,product.metafields.shopify.size,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/ENERGY-SAVING-MODE_-T-SHIRT-MAIN-1.png?v=1786379134,1,,false,T-Shirt - ENERGY SAVING MODE,T-Shirt - ENERGY SAVING MODE from Kauffman Concept.,Manifesto,,T-Shirt,,,,,,,,,loose,,,,xs; s; m; l,,,,,,,,,kg,,,active
t-shirt-energy-saving-mode-manifesto,,,,,,,,,s,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/ENERGY-SAVING-MODE_-T-SHIRT-SECOND.png?v=1786379135,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-energy-saving-mode-manifesto,,,,,,,,,m,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
t-shirt-energy-saving-mode-manifesto,,,,,,,,,l,,,,,,,,,200.0,shopify,100,deny,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
hoodie-champagne-detox-crystal,CHAMPAGNE DETOX | Grey,"<p><meta charset=""utf-8""><span>Made from 100% cotton (480 gsm) — significantly heavier than a standard hoodie, for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,Apparel,"crystal collection, hoodie",true,Size,s,product.metafields.shopify.size,,,,,,,04-KF-HD-CHD-P-S,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F_16d356c4-9508-48bd-83d7-ad6188dd6cf8.png?v=1781999703,1,,false,,,Crystal,,Hoodie,hoodie,universal,adults,,,,pink; grey,cotton,,,hooded,,s; m; l,long,unisex,long,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F_16d356c4-9508-48bd-83d7-ad6188dd6cf8.png?v=1781999703,kg,,,active
hoodie-champagne-detox-crystal,,,,,,,,,m,,,,,,,,04-KF-HD-CHD-P-M,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-B_fff547e9-60f7-4c7d-b6d9-623244f271a6.png?v=1781999703,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F_16d356c4-9508-48bd-83d7-ad6188dd6cf8.png?v=1781999703,kg,,,
hoodie-champagne-detox-crystal,,,,,,,,,l,,,,,,,,04-KF-HD-CHD-P-L,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F_16d356c4-9508-48bd-83d7-ad6188dd6cf8.png?v=1781999703,kg,,,
hoodie-fckn-fabulous,FCKN FABULOUS,"<p><meta charset=""utf-8""><span>Made from 100% cotton (480 gsm) — significantly heavier than a standard hoodie, for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,Apparel,"crystal collection, hoodie",true,Size,s,product.metafields.shopify.size,,,,,,,04-KF-HD-FBLS-GR-S,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-FBLS-GR-F.png?v=1782000585,1,,false,,,Crystal,,Hoodie,hoodie,universal,adults,,,,grey,cotton,,,hooded,,s; m; l,long,unisex,long,,,,,,kg,,,active
hoodie-fckn-fabulous,,,,,,,,,m,,,,,,,,04-KF-HD-FBLS-GR-M,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-FBLS-GR-B.png?v=1782000585,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
hoodie-fckn-fabulous,,,,,,,,,l,,,,,,,,04-KF-HD-FBLS-GR-L,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
hoodie-champagne-detox-crystal-pink,CHAMPAGNE DETOX | Pink,"<p><meta charset=""utf-8""><span>Made from 100% cotton (480 gsm) — significantly heavier than a standard hoodie, for a structured yet relaxed fit. Finished with an acid-washed effect and subtle crystal detailing.</span></p>",Kauffman Concept,Apparel & Accessories > Clothing > Clothing Tops > Hoodies,Apparel,"crystal collection, hoodie",true,Size,s,product.metafields.shopify.size,,,,,,,04-KF-HD-CHD-P-S,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F.png?v=1781998211,1,,false,,,Crystal,,Hoodie,hoodie,universal,adults,ironing-instructions; dryer-safe; dry-clean-only,,,pink,cotton,oversize,,hooded,,s; m; l,long,unisex,long,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F.png?v=1781998211,kg,,,active
hoodie-champagne-detox-crystal-pink,,,,,,,,,m,,,,,,,,04-KF-HD-CHD-P-M,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-B.png?v=1781998211,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F.png?v=1781998211,kg,,,
hoodie-champagne-detox-crystal-pink,,,,,,,,,l,,,,,,,,04-KF-HD-CHD-P-L,0.0,shopify,100,deny,manual,1000.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1003/5029/6411/files/04-KF-HD-CHD-GR-F.png?v=1781998211,kg,,,
